School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2023-2024,8,Augusta County,640,Wilson Elementary,N,348,,348
2023-2024,8,Augusta County,640,Wilson Elementary,Y,312,,312
2023-2024,8,Augusta County,720,Wilson Memorial High,N,553,<,555
2023-2024,8,Augusta County,720,Wilson Memorial High,Y,310,,310
2023-2024,8,Augusta County,844,Wilson Middle,N,390,,390
2023-2024,8,Augusta County,844,Wilson Middle,Y,266,,266
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,N,134,,134
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,Y,258,,258
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,47,,47
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,Y,61,,61
2023-2024,15,Buckingham County,723,Buckingham Co Primary,N,121,,121
2023-2024,15,Buckingham County,723,Buckingham Co Primary,Y,230,,230
2023-2024,15,Buckingham County,700,Buckingham County High,N,311,,311
2023-2024,15,Buckingham County,700,Buckingham County High,Y,374,,374
2023-2024,15,Buckingham County,721,Buckingham County Middle,N,170,,170
2023-2024,15,Buckingham County,721,Buckingham County Middle,Y,260,,260
2023-2024,104,Charlottesville City,100,Buford Middle,N,241,<,243
2023-2024,104,Charlottesville City,100,Buford Middle,Y,318,,318
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,N,195,,195
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,Y,90,,90
2023-2024,104,Charlottesville City,140,Charlottesville High,N,685,<,690
2023-2024,104,Charlottesville City,140,Charlottesville High,Y,720,<,721
2023-2024,104,Charlottesville City,50,Clark Elementary,N,<,,<
2023-2024,104,Charlottesville City,50,Clark Elementary,Y,306,,306
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,Y,270,,270
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,N,<,,<
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,Y,350,,350
2023-2024,104,Charlottesville City,10,Johnson Elementary,N,<,,<
2023-2024,104,Charlottesville City,10,Johnson Elementary,Y,326,,326
2023-2024,104,Charlottesville City,40,Venable Elementary,N,198,,198
2023-2024,104,Charlottesville City,40,Venable Elementary,Y,124,,124
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,N,304,<,307
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,Y,300,,300
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,N,294,,294
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,Y,166,,166
2023-2024,32,Fluvanna County,310,Central Elementary,N,448,,448
2023-2024,32,Fluvanna County,310,Central Elementary,Y,296,,296
2023-2024,32,Fluvanna County,260,Fluvanna County High,N,930,,930
2023-2024,32,Fluvanna County,260,Fluvanna County High,Y,501,,501
2023-2024,32,Fluvanna County,320,Fluvanna Middle,N,470,,470
2023-2024,32,Fluvanna County,320,Fluvanna Middle,Y,267,,267
2023-2024,39,Greene County,20,Nathanael Greene Elementary,N,153,,153
2023-2024,39,Greene County,20,Nathanael Greene Elementary,Y,187,,187
2023-2024,39,Greene County,10,Nathanael Greene Primary,N,166,,166
2023-2024,39,Greene County,10,Nathanael Greene Primary,Y,205,,205
2023-2024,39,Greene County,30,Ruckersville Elementary,N,323,,323
2023-2024,39,Greene County,30,Ruckersville Elementary,Y,180,,180
2023-2024,39,Greene County,72,William Monroe High,N,593,,593
2023-2024,39,Greene County,72,William Monroe High,Y,386,,386
2023-2024,39,Greene County,71,William Monroe Middle,N,358,,358
2023-2024,39,Greene County,71,William Monroe Middle,Y,267,,267
2023-2024,56,Madison County,221,Madison County High,N,322,,322
2023-2024,56,Madison County,221,Madison County High,Y,216,<,217
2023-2024,56,Madison County,230,Madison Primary,N,187,,187
2023-2024,56,Madison County,230,Madison Primary,Y,193,<,194
2023-2024,56,Madison County,200,Waverly Yowell Elementary,N,185,,185
2023-2024,56,Madison County,200,Waverly Yowell Elementary,Y,161,,161
2023-2024,56,Madison County,222,William H. Wetsel Middle,N,242,,242
2023-2024,56,Madison County,222,William H. Wetsel Middle,Y,163,,163
2023-2024,62,Nelson County,710,Nelson County High,N,192,,192
2023-2024,62,Nelson County,710,Nelson County High,Y,293,,293
2023-2024,62,Nelson County,730,Nelson Middle,N,130,,130
2023-2024,62,Nelson County,730,Nelson Middle,Y,229,,229
2023-2024,62,Nelson County,10,Rockfish River Elementary,N,121,,121
2023-2024,62,Nelson County,10,Rockfish River Elementary,Y,171,,171
2023-2024,62,Nelson County,20,Tye River Elementary,N,128,,128
2023-2024,62,Nelson County,20,Tye River Elementary,Y,231,,231
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,N,125,,125
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,Y,219,,219
2023-2024,68,Orange County,70,Lightfoot Elementary,N,129,,129
2023-2024,68,Orange County,70,Lightfoot Elementary,Y,120,,120
2023-2024,68,Orange County,50,Locust Grove Elementary,N,299,,299
2023-2024,68,Orange County,50,Locust Grove Elementary,Y,219,,219
2023-2024,68,Orange County,471,Locust Grove Middle,N,425,,425
2023-2024,68,Orange County,471,Locust Grove Middle,Y,255,,255
2023-2024,68,Orange County,51,Locust Grove Primary,N,288,,288
2023-2024,68,Orange County,51,Locust Grove Primary,Y,196,,196
2023-2024,68,Orange County,330,Orange County High ,N,790,<,791
2023-2024,68,Orange County,330,Orange County High ,Y,673,,673
2023-2024,68,Orange County,370,Orange Elementary,N,253,,253
2023-2024,68,Orange County,370,Orange Elementary,Y,391,,391
2023-2024,68,Orange County,340,Prospect Heights Middle,N,200,,200
2023-2024,68,Orange County,340,Prospect Heights Middle,Y,248,,248
2023-2024,68,Orange County,350,Unionville Elementary,N,124,,124
2023-2024,68,Orange County,350,Unionville Elementary,Y,127,,127
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,N,192,,192
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,Y,178,,178
2023-2024,126,Staunton City,70,Bessie Weller Elementary,N,149,,149
2023-2024,126,Staunton City,70,Bessie Weller Elementary,Y,228,,228
2023-2024,126,Staunton City,110,Shelburne Middle,N,287,,287
2023-2024,126,Staunton City,110,Shelburne Middle,Y,302,,302
2023-2024,126,Staunton City,41,Staunton City School PreSchool Programs,N,57,,57
2023-2024,126,Staunton City,41,Staunton City School PreSchool Programs,Y,86,,86
2023-2024,126,Staunton City,30,Staunton High,N,459,,459
2023-2024,126,Staunton City,30,Staunton High,Y,331,,331
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,N,242,,242
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,Y,187,,187
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,N,108,,108
