year,division,cohort_All Students,cohort_Asian,cohort_Black,cohort_Hispanic,cohort_Multiple Races,cohort_White,advanced_diplomas_All Students,advanced_diplomas_Asian,advanced_diplomas_Black,advanced_diplomas_Hispanic,advanced_diplomas_Multiple Races,advanced_diplomas_White,percent_advanced_All Students,percent_advanced_Asian,percent_advanced_Black,percent_advanced_Hispanic,percent_advanced_Multiple Races,percent_advanced_White
2020,Accomack County Public Schools,361,NA,128,63,NA,164,154,NA,31,27,NA,92,42.65927977839335,NA,24.21875,42.857142857142854,NA,56.09756097560976
2020,Albemarle County Public Schools,1084,68,122,132,58,704,698,59,47,48,34,510,64.39114391143912,86.76470588235294,38.52459016393443,36.36363636363637,58.620689655172406,72.44318181818183
2020,Alexandria City Public Schools,981,38,288,374,25,252,372,16,71,89,15,180,37.920489296636084,42.10526315789473,24.65277777777778,23.796791443850267,60,71.42857142857143
2020,Alleghany Highlands Public Schools,168,NA,10,NA,NA,145,59,NA,2,NA,NA,53,35.11904761904761,NA,20,NA,NA,36.55172413793103
2020,Amelia County Public Schools,110,NA,21,NA,11,73,41,NA,8,NA,5,26,37.27272727272727,NA,38.095238095238095,NA,45.45454545454545,35.61643835616438
2020,Amherst County Public Schools,302,NA,65,11,27,197,143,NA,25,8,11,98,47.35099337748344,NA,38.46153846153847,72.72727272727273,40.74074074074074,49.746192893401016
2020,Appomattox County Public Schools,172,NA,48,NA,13,108,91,NA,17,NA,7,66,52.90697674418605,NA,35.41666666666667,NA,53.84615384615385,61.111111111111114
2020,Arlington County Public Schools,1745,143,203,516,114,767,1150,91,101,239,82,636,65.90257879656161,63.63636363636363,49.75369458128079,46.31782945736434,71.9298245614035,82.92046936114733
2020,Augusta County Public Schools,804,NA,20,47,19,706,373,NA,9,16,10,330,46.39303482587065,NA,45,34.04255319148936,52.63157894736842,46.742209631728045
2020,Bath County Public Schools,39,NA,NA,NA,NA,34,17,NA,NA,NA,NA,14,43.58974358974359,NA,NA,NA,NA,41.17647058823529
2020,Bedford County Public Schools,824,23,61,25,32,682,413,15,20,4,13,361,50.12135922330098,65.21739130434783,32.78688524590164,16,40.625,52.93255131964809
2020,Bland County Public Schools,66,NA,NA,NA,NA,64,11,NA,NA,NA,NA,10,16.666666666666664,NA,NA,NA,NA,15.625
2020,Botetourt County Public Schools,391,NA,10,17,19,340,228,NA,5,7,10,203,58.31202046035806,NA,50,41.17647058823529,52.63157894736842,59.705882352941174
2020,Bristol City Public Schools,151,NA,NA,NA,NA,127,42,NA,NA,NA,NA,40,27.81456953642384,NA,NA,NA,NA,31.496062992125985
2020,Brunswick County Public Schools,118,NA,97,NA,NA,17,32,NA,21,NA,NA,9,27.11864406779661,NA,21.649484536082475,NA,NA,52.94117647058824
2020,Buchanan County Public Schools,218,NA,NA,NA,NA,215,65,NA,NA,NA,NA,65,29.81651376146789,NA,NA,NA,NA,30.23255813953488
2020,Buckingham County Public Schools,148,NA,61,NA,10,69,44,NA,13,NA,2,27,29.72972972972973,NA,21.311475409836063,NA,20,39.130434782608695
2020,Buena Vista City Public Schools,78,NA,NA,NA,NA,73,32,NA,NA,NA,NA,29,41.02564102564102,NA,NA,NA,NA,39.726027397260275
2020,Campbell County Public Schools,594,NA,85,22,25,450,268,NA,27,8,11,213,45.11784511784512,NA,31.76470588235294,36.36363636363637,44,47.333333333333336
2020,Caroline County Public Schools,289,NA,82,36,26,142,117,NA,32,13,10,59,40.484429065743946,NA,39.02439024390244,36.11111111111111,38.46153846153847,41.54929577464789
2020,Carroll County Public Schools,262,NA,NA,15,NA,238,133,NA,NA,7,NA,122,50.76335877862596,NA,NA,46.666666666666664,NA,51.26050420168067
2020,Charles City County Public Schools,50,NA,26,NA,NA,18,15,NA,6,NA,NA,5,30,NA,23.076923076923077,NA,NA,27.77777777777778
2020,Charlotte County Public Schools,132,NA,34,NA,NA,86,69,NA,18,NA,NA,51,52.27272727272727,NA,52.94117647058824,NA,NA,59.30232558139535
2020,Charlottesville City Public Schools,279,26,81,41,14,117,170,18,30,20,7,95,60.93189964157706,69.23076923076923,37.03703703703704,48.78048780487805,50,81.19658119658119
2020,Chesapeake City Public Schools,3291,99,1082,303,212,1566,1853,86,455,159,133,1005,56.3050744454573,86.86868686868688,42.05175600739371,52.475247524752476,62.735849056603776,64.17624521072797
2020,Chesterfield County Public Schools,4977,195,1326,826,239,2372,2779,150,609,284,126,1600,55.836849507735586,76.92307692307693,45.92760180995475,34.38256658595641,52.719665271966534,67.45362563237775
2020,Clarke County Public Schools,160,NA,NA,20,11,120,111,NA,NA,12,10,85,69.375,NA,NA,60,90.9090909090909,70.83333333333334
2020,Colonial Beach Public Schools,38,NA,10,NA,NA,23,19,NA,2,NA,NA,15,50,NA,20,NA,NA,65.21739130434783
2020,Colonial Heights City Public Schools,220,NA,38,16,13,148,116,NA,19,3,7,83,52.72727272727272,NA,50,18.75,53.84615384615385,56.08108108108109
2020,Craig County Public Schools,43,NA,NA,NA,NA,39,10,NA,NA,NA,NA,9,23.25581395348837,NA,NA,NA,NA,23.076923076923077
2020,Culpeper County Public Schools,624,10,90,138,37,346,269,5,28,44,15,176,43.108974358974365,50,31.11111111111111,31.88405797101449,40.54054054054054,50.86705202312138
2020,Cumberland County Public Schools,95,NA,39,NA,NA,44,42,NA,18,NA,NA,15,44.21052631578947,NA,46.15384615384615,NA,NA,34.090909090909086
2020,Danville City Public Schools,374,NA,258,27,NA,73,109,NA,55,10,NA,34,29.144385026737968,NA,21.31782945736434,37.03703703703704,NA,46.57534246575342
2020,Dickenson County Public Schools,141,NA,NA,NA,NA,139,38,NA,NA,NA,NA,38,26.95035460992908,NA,NA,NA,NA,27.33812949640288
2020,Dinwiddie County Public Schools,317,NA,103,30,18,165,120,NA,32,10,9,69,37.85488958990536,NA,31.06796116504854,33.33333333333333,50,41.81818181818181
2020,Essex County Public Schools,108,NA,59,NA,NA,38,38,NA,13,NA,NA,21,35.18518518518518,NA,22.033898305084744,NA,NA,55.26315789473685
2020,Fairfax County Public Schools,14653,3062,1512,3705,721,5610,9459,2521,784,1438,500,4184,64.55333378830274,82.33180927498367,51.85185185185185,38.81241565452092,69.34812760055479,74.58110516934046
2020,Falls Church City Public Schools,204,14,NA,20,17,148,148,8,NA,10,12,115,72.54901960784314,57.14285714285714,NA,50,70.58823529411765,77.7027027027027
2020,Fauquier County Public Schools,926,22,77,133,40,651,451,18,19,45,16,351,48.704103671706264,81.81818181818183,24.675324675324674,33.83458646616541,40,53.91705069124424
2020,Floyd County Public Schools,146,NA,NA,NA,NA,134,60,NA,NA,NA,NA,54,41.0958904109589,NA,NA,NA,NA,40.298507462686565
2020,Fluvanna County Public Schools,278,NA,39,17,17,204,144,NA,18,10,8,108,51.798561151079134,NA,46.15384615384615,58.82352941176471,47.05882352941176,52.94117647058824
2020,Franklin City Public Schools,88,NA,67,NA,NA,15,29,NA,15,NA,NA,11,32.95454545454545,NA,22.388059701492537,NA,NA,73.33333333333333
2020,Franklin County Public Schools,492,NA,51,29,32,375,229,NA,20,18,10,178,46.54471544715447,NA,39.21568627450981,62.06896551724138,31.25,47.46666666666667
2020,Frederick County Public Schools,1108,18,46,196,47,797,543,12,20,75,24,410,49.0072202166065,66.66666666666666,43.47826086956522,38.265306122448976,51.06382978723404,51.44291091593476
2020,Fredericksburg City Public Schools,234,11,81,47,12,81,114,5,29,18,6,55,48.717948717948715,45.45454545454545,35.80246913580247,38.297872340425535,50,67.90123456790124
2020,Galax City Public Schools,79,NA,NA,21,NA,44,28,NA,NA,7,NA,17,35.44303797468354,NA,NA,33.33333333333333,NA,38.63636363636363
2020,Giles County Public Schools,219,NA,NA,NA,NA,206,50,NA,NA,NA,NA,47,22.831050228310502,NA,NA,NA,NA,22.815533980582526
2020,Gloucester County Public Schools,430,NA,29,13,19,363,176,NA,4,8,5,155,40.93023255813954,NA,13.793103448275861,61.53846153846154,26.31578947368421,42.69972451790633
2020,Goochland County Public Schools,214,NA,24,17,NA,160,156,NA,14,10,NA,124,72.89719626168224,NA,58.333333333333336,58.82352941176471,NA,77.5
2020,Grayson County Public Schools,130,NA,NA,10,NA,114,57,NA,NA,6,NA,49,43.84615384615385,NA,NA,60,NA,42.98245614035088
2020,Greene County Public Schools,230,NA,17,23,13,172,119,NA,8,9,5,93,51.73913043478261,NA,47.05882352941176,39.130434782608695,38.46153846153847,54.06976744186046
2020,Greensville County Public Schools,179,NA,122,NA,NA,49,66,NA,39,NA,NA,23,36.87150837988827,NA,31.967213114754102,NA,NA,46.93877551020408
2020,Halifax County Public Schools,356,NA,147,11,NA,188,113,NA,28,2,NA,79,31.741573033707866,NA,19.047619047619047,18.181818181818183,NA,42.02127659574468
2020,Hampton City Public Schools,1466,34,943,79,84,319,553,25,317,40,35,135,37.72169167803547,73.52941176470588,33.61611876988335,50.63291139240506,41.66666666666667,42.31974921630094
2020,Hanover County Public Schools,1471,27,130,84,49,1176,988,20,73,42,25,825,67.1651937457512,74.07407407407408,56.15384615384615,50,51.02040816326531,70.1530612244898
2020,Harrisonburg City Public Schools,441,14,50,227,13,137,240,12,24,105,11,88,54.421768707483,85.71428571428571,48,46.25550660792951,84.61538461538461,64.23357664233576
2020,Henrico County Public Schools,4007,394,1440,379,196,1587,2159,323,520,123,101,1087,53.88070875967058,81.97969543147208,36.11111111111111,32.45382585751979,51.53061224489795,68.49401386263389
2020,Henry County Public Schools,544,NA,121,68,29,325,190,NA,30,28,9,122,34.92647058823529,NA,24.793388429752067,41.17647058823529,31.03448275862069,37.53846153846154
2020,Highland County Public Schools,22,NA,NA,NA,NA,21,8,NA,NA,NA,NA,7,36.36363636363637,NA,NA,NA,NA,33.33333333333333
2020,Hopewell City Public Schools,311,NA,189,32,NA,82,92,NA,55,10,NA,22,29.581993569131832,NA,29.100529100529098,31.25,NA,26.82926829268293
2020,Isle of Wight County Public Schools,485,NA,129,29,23,298,254,NA,50,11,12,176,52.37113402061856,NA,38.759689922480625,37.93103448275862,52.17391304347826,59.06040268456376
2020,King George County Public Schools,325,NA,51,23,31,213,168,NA,14,15,15,120,51.69230769230769,NA,27.450980392156865,65.21739130434783,48.38709677419355,56.33802816901409
2020,King William County Public Schools,187,NA,32,NA,NA,137,68,NA,4,NA,NA,56,36.36363636363637,NA,12.5,NA,NA,40.87591240875913
2020,King and Queen County Public Schools,32,NA,12,NA,NA,12,9,NA,2,NA,NA,3,28.125,NA,16.666666666666664,NA,NA,25
2020,Lancaster County Public Schools,94,NA,45,NA,NA,43,41,NA,9,NA,NA,28,43.61702127659575,NA,20,NA,NA,65.11627906976744
2020,Lee County Public Schools,228,NA,NA,NA,NA,221,69,NA,NA,NA,NA,66,30.263157894736842,NA,NA,NA,NA,29.86425339366516
2020,Loudoun County Public Schools,6498,1306,444,1112,334,3279,4867,1145,266,557,267,2617,74.89996922129886,87.67228177641654,59.909909909909906,50.089928057553955,79.94011976047905,79.81091796279354
2020,Louisa County Public Schools,355,NA,61,19,27,244,189,NA,27,10,13,136,53.239436619718305,NA,44.26229508196721,52.63157894736842,48.148148148148145,55.73770491803278
2020,Lunenburg County Public Schools,106,NA,30,NA,10,57,42,NA,7,NA,5,26,39.62264150943396,NA,23.333333333333332,NA,50,45.614035087719294
2020,Lynchburg City Public Schools,597,15,298,37,42,198,256,13,89,14,14,122,42.88107202680067,86.66666666666667,29.86577181208054,37.83783783783784,33.33333333333333,61.61616161616161
2020,Madison County Public Schools,115,NA,NA,NA,NA,96,64,NA,NA,NA,NA,60,55.65217391304348,NA,NA,NA,NA,62.5
2020,Manassas City Public Schools,549,16,53,360,37,80,206,7,19,110,16,54,37.52276867030965,43.75,35.84905660377358,30.555555555555557,43.24324324324324,67.5
2020,Manassas Park City Public Schools,265,22,17,170,NA,51,139,19,12,67,NA,37,52.45283018867924,86.36363636363636,70.58823529411765,39.411764705882355,NA,72.54901960784314
2020,Martinsville City Public Schools,147,NA,80,23,10,32,61,NA,27,9,5,18,41.49659863945578,NA,33.75,39.130434782608695,50,56.25
2020,Mathews County Public Schools,67,NA,NA,NA,NA,49,31,NA,NA,NA,NA,23,46.26865671641791,NA,NA,NA,NA,46.93877551020408
2020,Mecklenburg County Public Schools,330,NA,127,20,11,170,125,NA,33,7,2,81,37.878787878787875,NA,25.984251968503933,35,18.181818181818183,47.647058823529406
2020,Middlesex County Public Schools,100,NA,13,NA,NA,79,37,NA,1,NA,NA,33,37,NA,7.6923076923076925,NA,NA,41.77215189873418
2020,Montgomery County Public Schools,783,27,34,41,36,643,436,24,10,19,19,362,55.68326947637292,88.88888888888889,29.411764705882355,46.34146341463415,52.77777777777778,56.298600311041994
2020,Nelson County Public Schools,158,NA,17,13,NA,119,69,NA,3,3,NA,61,43.67088607594937,NA,17.647058823529413,23.076923076923077,NA,51.26050420168067
