year,division,cohort_All Students,cohort_Asian,cohort_Black,cohort_Hispanic,cohort_Multiple Races,cohort_White,advanced_diplomas_All Students,advanced_diplomas_Asian,advanced_diplomas_Black,advanced_diplomas_Hispanic,advanced_diplomas_Multiple Races,advanced_diplomas_White,percent_advanced_All Students,percent_advanced_Asian,percent_advanced_Black,percent_advanced_Hispanic,percent_advanced_Multiple Races,percent_advanced_White
2020,New Kent County Public Schools,229,NA,29,NA,NA,177,121,NA,14,NA,NA,94,52.838427947598255,NA,48.275862068965516,NA,NA,53.10734463276836
2020,Newport News City Public Schools,1724,51,997,194,73,394,779,39,420,78,37,198,45.185614849187935,76.47058823529412,42.126379137412236,40.20618556701031,50.68493150684932,50.25380710659898
2020,Norfolk City Public Schools,1807,51,1097,147,118,381,652,38,302,44,49,213,36.08190370780299,74.50980392156863,27.529626253418414,29.931972789115648,41.52542372881356,55.90551181102362
2020,Northampton County Public Schools,106,NA,53,24,NA,25,35,NA,10,9,NA,14,33.0188679245283,NA,18.867924528301888,37.5,NA,56.00000000000001
2020,Northumberland County Public Schools,112,NA,40,NA,NA,63,54,NA,10,NA,NA,41,48.214285714285715,NA,25,NA,NA,65.07936507936508
2020,Norton City Public Schools,63,NA,NA,NA,NA,59,33,NA,NA,NA,NA,32,52.38095238095239,NA,NA,NA,NA,54.23728813559322
2020,Nottoway County Public Schools,156,NA,64,12,NA,72,56,NA,13,4,NA,33,35.8974358974359,NA,20.3125,33.33333333333333,NA,45.83333333333333
2020,Orange County Public Schools,361,NA,47,24,30,252,147,NA,20,8,10,104,40.7202216066482,NA,42.5531914893617,33.33333333333333,33.33333333333333,41.269841269841265
2020,Page County Public Schools,273,NA,NA,NA,NA,255,146,NA,NA,NA,NA,135,53.47985347985348,NA,NA,NA,NA,52.94117647058824
2020,Patrick County Public Schools,186,NA,NA,NA,11,161,83,NA,NA,NA,3,74,44.623655913978496,NA,NA,NA,27.27272727272727,45.962732919254655
2020,Petersburg City Public Schools,232,NA,201,19,NA,NA,66,NA,61,3,NA,NA,28.448275862068968,NA,30.34825870646766,15.789473684210526,NA,NA
2020,Pittsylvania County Public Schools,695,NA,162,29,19,479,330,NA,64,12,6,243,47.482014388489205,NA,39.50617283950617,41.37931034482759,31.57894736842105,50.73068893528184
2020,Poquoson City Public Schools,181,NA,NA,NA,NA,165,104,NA,NA,NA,NA,97,57.4585635359116,NA,NA,NA,NA,58.78787878787879
2020,Portsmouth City Public Schools,1019,NA,750,36,50,170,343,NA,241,16,19,57,33.66045142296369,NA,32.13333333333333,44.44444444444444,38,33.52941176470588
2020,Powhatan County Public Schools,350,NA,21,12,15,298,179,NA,8,3,8,158,51.142857142857146,NA,38.095238095238095,25,53.333333333333336,53.02013422818792
2020,Prince Edward County Public Schools,151,NA,79,NA,NA,60,37,NA,14,NA,NA,16,24.503311258278146,NA,17.72151898734177,NA,NA,26.666666666666668
2020,Prince George County Public Schools,426,NA,127,44,24,215,170,NA,44,20,7,91,39.906103286384976,NA,34.645669291338585,45.45454545454545,29.166666666666668,42.32558139534884
2020,Prince William County Public Schools,6908,663,1464,2277,391,2084,3331,449,643,767,209,1252,48.21945570353214,67.72247360482655,43.9207650273224,33.6846728151076,53.452685421994886,60.076775431861805
2020,Pulaski County Public Schools,285,NA,NA,NA,23,241,101,NA,NA,NA,6,93,35.43859649122807,NA,NA,NA,26.08695652173913,38.589211618257266
2020,Radford City Public Schools,123,NA,12,NA,NA,98,71,NA,1,NA,NA,66,57.72357723577236,NA,8.333333333333332,NA,NA,67.3469387755102
2020,Rappahannock County Public Schools,57,NA,NA,NA,NA,50,27,NA,NA,NA,NA,25,47.368421052631575,NA,NA,NA,NA,50
2020,Richmond City Public Schools,1479,19,956,257,24,223,472,11,281,42,11,127,31.913455037187287,57.89473684210527,29.39330543933054,16.342412451361866,45.83333333333333,56.95067264573991
2020,Richmond County Public Schools,83,NA,26,NA,NA,47,47,NA,9,NA,NA,32,56.62650602409639,NA,34.61538461538461,NA,NA,68.08510638297872
2020,Roanoke City Public Schools,940,39,407,119,33,338,283,17,84,28,11,142,30.106382978723406,43.58974358974359,20.638820638820636,23.52941176470588,33.33333333333333,42.01183431952663
2020,Roanoke County Public Schools,1102,55,79,61,54,852,643,43,36,37,26,500,58.348457350272234,78.18181818181819,45.56962025316456,60.65573770491803,48.148148148148145,58.68544600938967
2020,Rockbridge County Public Schools,257,NA,NA,NA,11,228,104,NA,NA,NA,2,98,40.46692607003891,NA,NA,NA,18.181818181818183,42.98245614035088
2020,Rockingham County Public Schools,883,13,10,124,33,702,452,8,6,52,16,370,51.18912797281994,61.53846153846154,60,41.935483870967744,48.484848484848484,52.70655270655271
2020,Russell County Public Schools,278,NA,NA,NA,NA,272,103,NA,NA,NA,NA,100,37.05035971223021,NA,NA,NA,NA,36.76470588235294
2020,Salem City Public Schools,320,11,47,16,10,235,194,10,17,9,5,152,60.62499999999999,90.9090909090909,36.17021276595745,56.25,50,64.68085106382979
2020,Scott County Public Schools,252,NA,NA,NA,NA,242,103,NA,NA,NA,NA,99,40.87301587301587,NA,NA,NA,NA,40.909090909090914
2020,Shenandoah County Public Schools,481,NA,20,71,11,375,201,NA,6,20,3,168,41.78794178794179,NA,30,28.169014084507044,27.27272727272727,44.800000000000004
2020,Smyth County Public Schools,329,NA,14,13,NA,298,116,NA,3,3,NA,107,35.25835866261398,NA,21.428571428571427,23.076923076923077,NA,35.90604026845637
2020,Southampton County Public Schools,214,NA,91,NA,NA,114,114,NA,35,NA,NA,74,53.271028037383175,NA,38.46153846153847,NA,NA,64.91228070175438
2020,Spotsylvania County Public Schools,1847,50,371,307,94,1018,929,32,150,132,43,567,50.2977801840823,64,40.43126684636118,42.99674267100978,45.744680851063826,55.69744597249509
2020,Stafford County Public Schools,2488,84,503,473,178,1237,1493,54,276,233,108,814,60.008038585209,64.28571428571429,54.87077534791253,49.2600422832981,60.67415730337079,65.80436540016169
2020,Staunton City Public Schools,167,NA,23,NA,16,121,68,NA,4,NA,8,53,40.718562874251496,NA,17.391304347826086,NA,50,43.80165289256198
2020,Suffolk City Public Schools,1088,16,638,55,54,321,375,14,179,18,19,143,34.466911764705884,87.5,28.056426332288403,32.72727272727273,35.18518518518518,44.54828660436137
2020,Surry County Public Schools,47,NA,28,NA,NA,15,12,NA,4,NA,NA,6,25.53191489361702,NA,14.285714285714285,NA,NA,40
2020,Sussex County Public Schools,76,NA,53,NA,NA,18,25,NA,20,NA,NA,4,32.89473684210527,NA,37.735849056603776,NA,NA,22.22222222222222
2020,Tazewell County Public Schools,400,NA,NA,NA,NA,380,157,NA,NA,NA,NA,150,39.25,NA,NA,NA,NA,39.473684210526315
2020,Virginia Beach City Public Schools,5100,350,1188,548,452,2518,2822,250,448,270,229,1598,55.333333333333336,71.42857142857143,37.71043771043771,49.27007299270073,50.66371681415929,63.46306592533757
2020,Warren County Public Schools,419,NA,21,35,35,324,183,NA,11,11,13,146,43.67541766109785,NA,52.38095238095239,31.428571428571427,37.142857142857146,45.06172839506173
2020,Washington County Public Schools,547,NA,NA,15,NA,509,213,NA,NA,6,NA,198,38.93967093235832,NA,NA,40,NA,38.89980353634578
2020,Waynesboro City Public Schools,224,NA,40,30,19,133,76,NA,6,7,7,55,33.92857142857143,NA,15,23.333333333333332,36.84210526315789,41.35338345864661
2020,West Point Public Schools,61,NA,NA,NA,NA,45,28,NA,NA,NA,NA,21,45.90163934426229,NA,NA,NA,NA,46.666666666666664
2020,Westmoreland County Public Schools,121,NA,60,NA,NA,44,41,NA,19,NA,NA,17,33.88429752066116,NA,31.666666666666664,NA,NA,38.63636363636363
2020,Williamsburg-James City County Public Schools,952,29,177,111,64,568,518,21,52,38,35,369,54.41176470588235,72.41379310344827,29.37853107344633,34.234234234234236,54.6875,64.96478873239437
2020,Winchester City Public Schools,349,NA,42,131,23,142,149,NA,15,39,14,73,42.693409742120345,NA,35.714285714285715,29.770992366412212,60.86956521739131,51.40845070422535
2020,Wise County Public Schools,375,NA,NA,NA,NA,361,139,NA,NA,NA,NA,133,37.06666666666666,NA,NA,NA,NA,36.84210526315789
2020,Wythe County Public Schools,318,NA,11,NA,NA,296,135,NA,3,NA,NA,125,42.45283018867924,NA,27.27272727272727,NA,NA,42.22972972972973
2020,York County Public Schools,1009,69,120,102,100,612,630,57,62,59,49,399,62.43805748265609,82.6086956521739,51.66666666666667,57.84313725490197,49,65.19607843137256
2021,Accomack County Public Schools,371,NA,140,78,NA,146,147,NA,33,33,NA,74,39.62264150943396,NA,23.57142857142857,42.30769230769231,NA,50.68493150684932
2021,Albemarle County Public Schools,1087,48,113,148,65,711,701,41,43,54,38,524,64.48942042318308,85.41666666666666,38.05309734513274,36.486486486486484,58.46153846153847,73.69901547116737
2021,Alexandria City Public Schools,993,54,250,392,21,272,401,29,82,83,9,197,40.38267875125881,53.70370370370371,32.800000000000004,21.1734693877551,42.857142857142854,72.42647058823529
2021,Alleghany Highlands Public Schools,153,NA,10,NA,NA,136,53,NA,4,NA,NA,47,34.64052287581699,NA,40,NA,NA,34.55882352941176
2021,Amelia County Public Schools,115,NA,22,NA,NA,82,60,NA,11,NA,NA,45,52.17391304347826,NA,50,NA,NA,54.87804878048781
2021,Amherst County Public Schools,269,NA,46,NA,32,185,116,NA,20,NA,10,81,43.12267657992565,NA,43.47826086956522,NA,31.25,43.78378378378379
2021,Appomattox County Public Schools,192,NA,25,NA,14,143,98,NA,8,NA,7,78,51.041666666666664,NA,32,NA,50,54.54545454545454
2021,Arlington County Public Schools,1868,137,199,561,108,861,1220,90,92,245,89,703,65.31049250535332,65.69343065693431,46.231155778894475,43.672014260249554,82.4074074074074,81.6492450638792
2021,Augusta County Public Schools,784,NA,26,52,25,675,332,NA,12,21,12,281,42.3469387755102,NA,46.15384615384615,40.38461538461539,48,41.629629629629626
2021,Bath County Public Schools,37,NA,NA,NA,NA,35,15,NA,NA,NA,NA,15,40.54054054054054,NA,NA,NA,NA,42.857142857142854
2021,Bedford County Public Schools,750,12,43,35,29,631,363,8,17,22,12,304,48.4,66.66666666666666,39.53488372093023,62.857142857142854,41.37931034482759,48.17749603803487
2021,Bland County Public Schools,52,NA,NA,NA,NA,49,9,NA,NA,NA,NA,8,17.307692307692307,NA,NA,NA,NA,16.3265306122449
2021,Botetourt County Public Schools,397,NA,NA,11,22,350,237,NA,NA,6,9,214,59.69773299748111,NA,NA,54.54545454545454,40.909090909090914,61.142857142857146
2021,Bristol City Public Schools,167,NA,11,NA,12,135,51,NA,5,NA,2,42,30.538922155688624,NA,45.45454545454545,NA,16.666666666666664,31.11111111111111
2021,Brunswick County Public Schools,121,NA,102,NA,NA,14,36,NA,32,NA,NA,3,29.75206611570248,NA,31.372549019607842,NA,NA,21.428571428571427
2021,Buchanan County Public Schools,205,NA,NA,NA,NA,204,63,NA,NA,NA,NA,63,30.73170731707317,NA,NA,NA,NA,30.88235294117647
2021,Buckingham County Public Schools,136,NA,42,NA,NA,83,41,NA,13,NA,NA,27,30.14705882352941,NA,30.952380952380953,NA,NA,32.53012048192771
2021,Buena Vista City Public Schools,77,NA,NA,NA,NA,67,35,NA,NA,NA,NA,32,45.45454545454545,NA,NA,NA,NA,47.76119402985074
2021,Campbell County Public Schools,648,NA,104,24,31,476,278,NA,43,9,9,209,42.901234567901234,NA,41.34615384615385,37.5,29.03225806451613,43.90756302521008
2021,Caroline County Public Schools,290,NA,82,24,33,146,110,NA,24,10,11,61,37.93103448275862,NA,29.268292682926827,41.66666666666667,33.33333333333333,41.78082191780822
2021,Carroll County Public Schools,253,NA,NA,18,NA,229,118,NA,NA,9,NA,107,46.6403162055336,NA,NA,50,NA,46.724890829694324
2021,Charles City County Public Schools,33,NA,21,NA,NA,NA,5,NA,2,NA,NA,NA,15.151515151515152,NA,9.523809523809524,NA,NA,NA
2021,Charlotte County Public Schools,162,NA,45,NA,NA,100,70,NA,15,NA,NA,48,43.20987654320987,NA,33.33333333333333,NA,NA,48
2021,Charlottesville City Public Schools,298,16,72,39,30,141,176,11,22,14,18,111,59.06040268456376,68.75,30.555555555555557,35.8974358974359,60,78.72340425531915
2021,Chesapeake City Public Schools,3283,110,1115,325,259,1456,1882,91,490,176,167,949,57.32561681388974,82.72727272727273,43.946188340807176,54.15384615384615,64.47876447876449,65.17857142857143
2021,Chesterfield County Public Schools,5141,201,1391,853,247,2430,2830,161,602,302,129,1624,55.047656098035404,80.09950248756219,43.27821710999281,35.40445486518171,52.226720647773284,66.83127572016461
2021,Clarke County Public Schools,167,NA,NA,13,NA,139,117,NA,NA,9,NA,96,70.05988023952095,NA,NA,69.23076923076923,NA,69.06474820143885
2021,Colonial Beach Public Schools,51,NA,NA,NA,NA,35,25,NA,NA,NA,NA,15,49.01960784313725,NA,NA,NA,NA,42.857142857142854
2021,Colonial Heights City Public Schools,211,NA,45,16,14,128,108,NA,15,8,9,71,51.18483412322274,NA,33.33333333333333,50,64.28571428571429,55.46875
2021,Craig County Public Schools,50,NA,NA,NA,NA,48,5,NA,NA,NA,NA,5,10,NA,NA,NA,NA,10.416666666666668
2021,Culpeper County Public Schools,713,14,106,176,45,370,302,8,39,45,19,191,42.3562412342216,57.14285714285714,36.79245283018868,25.568181818181817,42.22222222222222,51.621621621621614
2021,Cumberland County Public Schools,80,NA,45,NA,NA,28,39,NA,19,NA,NA,15,48.75,NA,42.22222222222222,NA,NA,53.57142857142857
2021,Danville City Public Schools,366,NA,263,34,NA,64,102,NA,61,9,NA,32,27.86885245901639,NA,23.193916349809886,26.47058823529412,NA,50
2021,Dickenson County Public Schools,146,NA,NA,NA,NA,143,31,NA,NA,NA,NA,30,21.232876712328768,NA,NA,NA,NA,20.97902097902098
2021,Dinwiddie County Public Schools,336,NA,125,19,20,171,107,NA,42,2,8,54,31.845238095238095,NA,33.6,10.526315789473683,40,31.57894736842105
2021,Essex County Public Schools,110,NA,47,NA,12,45,51,NA,22,NA,5,23,46.36363636363636,NA,46.808510638297875,NA,41.66666666666667,51.11111111111111
2021,Fairfax County Public Schools,14811,3113,1509,3874,769,5492,9553,2569,810,1496,564,4085,64.49935858483559,82.52489559910055,53.677932405566594,38.61641713990707,73.34200260078023,74.38091769847051
2021,Falls Church City Public Schools,223,15,12,34,23,139,161,10,8,15,17,111,72.19730941704036,66.66666666666666,66.66666666666666,44.11764705882353,73.91304347826086,79.85611510791367
2021,Fauquier County Public Schools,983,21,70,178,46,665,533,18,33,84,14,381,54.221770091556465,85.71428571428571,47.14285714285714,47.19101123595505,30.434782608695656,57.29323308270676
2021,Floyd County Public Schools,161,NA,NA,NA,NA,148,82,NA,NA,NA,NA,77,50.931677018633536,NA,NA,NA,NA,52.02702702702703
2021,Fluvanna County Public Schools,305,NA,42,23,20,215,140,NA,14,11,4,108,45.90163934426229,NA,33.33333333333333,47.82608695652174,20,50.23255813953489
2021,Franklin City Public Schools,79,NA,66,NA,NA,NA,31,NA,21,NA,NA,NA,39.24050632911392,NA,31.818181818181817,NA,NA,NA
