School Year,Division Number,Division Name,Disadvantaged,FT Count,PT Count,Total Count
2025-2026,2,Albemarle County,N,"10,276",<,"10,284"
2025-2026,2,Albemarle County,Y,"3,776",<,"3,778"
2025-2026,8,Augusta County,N,"6,517",<,"6,520"
2025-2026,8,Augusta County,Y,"3,484",,"3,484"
2025-2026,15,Buckingham County,N,843,,843
2025-2026,15,Buckingham County,Y,913,,913
2025-2026,104,Charlottesville City,N,"2,534",<,"2,538"
2025-2026,104,Charlottesville City,Y,"1,823",,"1,823"
2025-2026,32,Fluvanna County,N,"2,174",,"2,174"
2025-2026,32,Fluvanna County,Y,"1,132",,"1,132"
2025-2026,39,Greene County,N,"1,536",<,"1,540"
2025-2026,39,Greene County,Y,"1,282",<,"1,284"
2025-2026,54,Louisa County,N,"3,033",,"3,033"
2025-2026,54,Louisa County,Y,"2,349",,"2,349"
2025-2026,56,Madison County,N,"1,030",,"1,030"
2025-2026,56,Madison County,Y,542,,542
2025-2026,62,Nelson County,N,664,<,665
2025-2026,62,Nelson County,Y,776,,776
2025-2026,68,Orange County,N,"3,035",,"3,035"
2025-2026,68,Orange County,Y,"1,946",,"1,946"
2025-2026,126,Staunton City,N,"1,272",,"1,272"
2025-2026,126,Staunton City,Y,"1,477",,"1,477"
2025-2026,130,Waynesboro City,N,"1,529",,"1,529"
2025-2026,130,Waynesboro City,Y,"1,484",,"1,484"
