School Year,Division Number,Division Name,School Number,School Name,English Learners include Former ELs,FT Count,PT Count,Total Count
2025-2026,2,Albemarle County,160,Agnor Elementary,N,375,,375
2025-2026,2,Albemarle County,160,Agnor Elementary,Y,132,,132
2025-2026,2,Albemarle County,880,Albemarle High,N,"1,547",<,"1,551"
2025-2026,2,Albemarle County,880,Albemarle High,Y,358,,358
2025-2026,2,Albemarle County,1053,Baker-Butler Elementary,N,565,,565
2025-2026,2,Albemarle County,1053,Baker-Butler Elementary,Y,121,,121
2025-2026,2,Albemarle County,100,Broadus Wood Elementary,N,250,,250
2025-2026,2,Albemarle County,100,Broadus Wood Elementary,Y,15,,15
2025-2026,2,Albemarle County,941,Brownsville Elementary,N,484,,484
2025-2026,2,Albemarle County,941,Brownsville Elementary,Y,20,,20
2025-2026,2,Albemarle County,890,Community Lab School,N,181,,181
2025-2026,2,Albemarle County,340,Crozet Elementary,N,552,,552
2025-2026,2,Albemarle County,340,Crozet Elementary,Y,15,,15
2025-2026,2,Albemarle County,10,Hollymead Elementary,N,405,,405
2025-2026,2,Albemarle County,10,Hollymead Elementary,Y,63,,63
2025-2026,2,Albemarle County,250,Ivy Elementary,N,363,,363
2025-2026,2,Albemarle County,250,Ivy Elementary,Y,<,,<
2025-2026,2,Albemarle County,69,Jackson P. Burley Middle,N,403,,403
2025-2026,2,Albemarle County,69,Jackson P. Burley Middle,Y,106,,106
2025-2026,2,Albemarle County,942,Joseph T. Henley Middle,N,845,,845
2025-2026,2,Albemarle County,942,Joseph T. Henley Middle,Y,27,,27
2025-2026,2,Albemarle County,950,Journey Middle,N,432,,432
2025-2026,2,Albemarle County,950,Journey Middle,Y,211,,211
2025-2026,2,Albemarle County,1051,Lakeside Middle,N,512,<,514
2025-2026,2,Albemarle County,1051,Lakeside Middle,Y,87,,87
2025-2026,2,Albemarle County,20,Leslie H. Walton Middle,N,344,,344
2025-2026,2,Albemarle County,20,Leslie H. Walton Middle,Y,20,,20
2025-2026,2,Albemarle County,40,Mary Carr Greer Elementary,N,311,,311
