School Year,Division Number,Division Name,School Number,School Name,English Learners include Former ELs,FT Count,PT Count,Total Count
2025-2026,2,Albemarle County,40,Mary Carr Greer Elementary,Y,189,,189
2025-2026,2,Albemarle County,1052,Monticello High,N,"1,040",<,"1,041"
2025-2026,2,Albemarle County,1052,Monticello High,Y,108,,108
2025-2026,2,Albemarle County,150,Mountain View Elementary,N,615,,615
2025-2026,2,Albemarle County,150,Mountain View Elementary,Y,144,,144
2025-2026,2,Albemarle County,540,Red Hill Elementary,N,173,,173
2025-2026,2,Albemarle County,540,Red Hill Elementary,Y,22,,22
2025-2026,2,Albemarle County,30,Scottsville Elementary,N,206,,206
2025-2026,2,Albemarle County,30,Scottsville Elementary,Y,<,,<
2025-2026,2,Albemarle County,920,Stone Robinson Elementary,N,403,,403
2025-2026,2,Albemarle County,920,Stone Robinson Elementary,Y,38,,38
2025-2026,2,Albemarle County,240,Stony Point Elementary,N,231,,231
2025-2026,2,Albemarle County,240,Stony Point Elementary,Y,21,,21
2025-2026,2,Albemarle County,910,Virginia L. Murray Elementary,N,247,,247
2025-2026,2,Albemarle County,910,Virginia L. Murray Elementary,Y,10,,10
2025-2026,2,Albemarle County,140,Western Albemarle High,N,"1,278",<,"1,281"
2025-2026,2,Albemarle County,140,Western Albemarle High,Y,28,,28
2025-2026,2,Albemarle County,930,Woodbrook Elementary,N,341,,341
2025-2026,2,Albemarle County,930,Woodbrook Elementary,Y,201,,201
2025-2026,8,Augusta County,660,Buffalo Gap High,N,374,,374
2025-2026,8,Augusta County,660,Buffalo Gap High,Y,<,,<
2025-2026,8,Augusta County,650,Buffalo Gap Middle,N,289,,289
2025-2026,8,Augusta County,650,Buffalo Gap Middle,Y,<,,<
2025-2026,8,Augusta County,30,Cassell Elementary,N,605,,605
2025-2026,8,Augusta County,30,Cassell Elementary,Y,18,,18
2025-2026,8,Augusta County,140,Churchville Elementary,N,425,,425
2025-2026,8,Augusta County,140,Churchville Elementary,Y,<,,<
2025-2026,8,Augusta County,370,Craigsville Elementary,N,110,,110
2025-2026,8,Augusta County,370,Craigsville Elementary,Y,<,,<
2025-2026,8,Augusta County,842,Edward G. Clymore Elementary,N,717,,717
2025-2026,8,Augusta County,842,Edward G. Clymore Elementary,Y,88,,88
2025-2026,8,Augusta County,670,Fort Defiance High,N,672,<,674
2025-2026,8,Augusta County,670,Fort Defiance High,Y,46,,46
2025-2026,8,Augusta County,843,Guy K. Stump Elementary,N,443,,443
2025-2026,8,Augusta County,843,Guy K. Stump Elementary,Y,<,,<
2025-2026,8,Augusta County,40,North River Elementary,N,192,,192
2025-2026,8,Augusta County,40,North River Elementary,Y,23,,23
2025-2026,8,Augusta County,740,Riverheads Elementary,N,721,,721
2025-2026,8,Augusta County,740,Riverheads Elementary,Y,<,,<
2025-2026,8,Augusta County,680,Riverheads High,N,440,,440
2025-2026,8,Augusta County,680,Riverheads High,Y,<,,<
2025-2026,8,Augusta County,70,Riverheads Middle,N,368,,368
2025-2026,8,Augusta County,70,Riverheads Middle,Y,<,,<
2025-2026,8,Augusta County,90,S. Gordon Stewart Middle,N,453,,453
2025-2026,8,Augusta County,90,S. Gordon Stewart Middle,Y,57,,57
2025-2026,8,Augusta County,440,Stuarts Draft Elementary,N,633,,633
2025-2026,8,Augusta County,440,Stuarts Draft Elementary,Y,22,,22
2025-2026,8,Augusta County,730,Stuarts Draft High,N,631,,631
2025-2026,8,Augusta County,730,Stuarts Draft High,Y,17,,17
2025-2026,8,Augusta County,60,Stuarts Draft Middle,N,492,,492
2025-2026,8,Augusta County,60,Stuarts Draft Middle,Y,22,,22
2025-2026,8,Augusta County,640,Wilson Elementary,N,615,,615
2025-2026,8,Augusta County,640,Wilson Elementary,Y,67,,67
2025-2026,8,Augusta County,720,Wilson Memorial High,N,789,,789
2025-2026,8,Augusta County,720,Wilson Memorial High,Y,24,,24
2025-2026,8,Augusta County,844,Wilson Middle,N,569,<,570
2025-2026,8,Augusta County,844,Wilson Middle,Y,46,,46
2025-2026,15,Buckingham County,724,Buckingham Co Elementary,N,329,,329
2025-2026,15,Buckingham County,724,Buckingham Co Elementary,Y,18,,18
2025-2026,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,90,,90
2025-2026,15,Buckingham County,723,Buckingham Co Primary,N,339,,339
2025-2026,15,Buckingham County,723,Buckingham Co Primary,Y,<,,<
2025-2026,15,Buckingham County,700,Buckingham County High,N,572,,572
2025-2026,15,Buckingham County,700,Buckingham County High,Y,17,,17
2025-2026,15,Buckingham County,721,Buckingham County Middle,N,370,,370
2025-2026,15,Buckingham County,721,Buckingham County Middle,Y,15,,15
2025-2026,104,Charlottesville City,140,Charlottesville High,N,"1,107",<,"1,110"
2025-2026,104,Charlottesville City,140,Charlottesville High,Y,336,,336
2025-2026,104,Charlottesville City,100,Charlottesville Middle,N,444,<,445
2025-2026,104,Charlottesville City,100,Charlottesville Middle,Y,128,,128
2025-2026,104,Charlottesville City,90,Greenbrier Elementary,N,212,,212
2025-2026,104,Charlottesville City,90,Greenbrier Elementary,Y,53,,53
2025-2026,104,Charlottesville City,120,Jackson-Via Elementary,N,290,,290
2025-2026,104,Charlottesville City,120,Jackson-Via Elementary,Y,68,,68
2025-2026,104,Charlottesville City,50,Summit Elementary,N,222,,222
2025-2026,104,Charlottesville City,50,Summit Elementary,Y,68,,68
2025-2026,104,Charlottesville City,70,Sunrise Elementary,N,279,,279
2025-2026,104,Charlottesville City,70,Sunrise Elementary,Y,27,,27
2025-2026,104,Charlottesville City,10,Tall Oaks Elementary,N,208,,208
2025-2026,104,Charlottesville City,10,Tall Oaks Elementary,Y,70,,70
2025-2026,104,Charlottesville City,40,Trailblazer Elementary,N,262,,262
2025-2026,104,Charlottesville City,40,Trailblazer Elementary,Y,25,,25
2025-2026,104,Charlottesville City,110,Walker Upper Elementary,N,409,,409
2025-2026,104,Charlottesville City,110,Walker Upper Elementary,Y,149,,149
2025-2026,32,Fluvanna County,300,Carysbrook Elementary,N,475,,475
2025-2026,32,Fluvanna County,300,Carysbrook Elementary,Y,16,,16
2025-2026,32,Fluvanna County,310,Central Elementary,N,710,,710
2025-2026,32,Fluvanna County,310,Central Elementary,Y,30,,30
2025-2026,32,Fluvanna County,260,Fluvanna County High,N,"1,290",,"1,290"
2025-2026,32,Fluvanna County,260,Fluvanna County High,Y,45,,45
2025-2026,32,Fluvanna County,320,Fluvanna Middle,N,706,,706
2025-2026,32,Fluvanna County,320,Fluvanna Middle,Y,34,,34
2025-2026,39,Greene County,20,Nathanael Greene Elementary,N,316,,316
2025-2026,39,Greene County,20,Nathanael Greene Elementary,Y,19,,19
2025-2026,39,Greene County,10,Nathanael Greene Primary,N,338,,338
2025-2026,39,Greene County,10,Nathanael Greene Primary,Y,14,,14
2025-2026,39,Greene County,30,Ruckersville Elementary,N,489,,489
2025-2026,39,Greene County,30,Ruckersville Elementary,Y,87,,87
2025-2026,39,Greene County,72,William Monroe High,N,864,<,868
2025-2026,39,Greene County,72,William Monroe High,Y,75,,75
2025-2026,39,Greene County,71,William Monroe Middle,N,556,<,558
2025-2026,39,Greene County,71,William Monroe Middle,Y,60,,60
2025-2026,54,Louisa County,660,Jouett Elementary,N,670,,670
2025-2026,54,Louisa County,660,Jouett Elementary,Y,16,,16
2025-2026,54,Louisa County,602,Louisa County High,N,"1,526",,"1,526"
2025-2026,54,Louisa County,602,Louisa County High,Y,45,,45
2025-2026,54,Louisa County,601,Louisa County Middle,N,"1,143",,"1,143"
2025-2026,54,Louisa County,601,Louisa County Middle,Y,67,,67
2025-2026,54,Louisa County,80,Moss-Nuckols Elementary,N,635,,635
2025-2026,54,Louisa County,80,Moss-Nuckols Elementary,Y,24,,24
2025-2026,54,Louisa County,610,Thomas Jefferson Elementary,N,650,,650
2025-2026,54,Louisa County,610,Thomas Jefferson Elementary,Y,46,,46
2025-2026,54,Louisa County,641,Trevilians Elementary,N,541,,541
2025-2026,54,Louisa County,641,Trevilians Elementary,Y,19,,19
2025-2026,56,Madison County,221,Madison County High,N,505,,505
2025-2026,56,Madison County,221,Madison County High,Y,22,,22
2025-2026,56,Madison County,230,Madison Primary,N,357,,357
2025-2026,56,Madison County,230,Madison Primary,Y,13,,13
2025-2026,56,Madison County,200,Waverly Yowell Elementary,N,330,,330
2025-2026,56,Madison County,200,Waverly Yowell Elementary,Y,<,,<
2025-2026,56,Madison County,222,William H. Wetsel Middle,N,320,,320
2025-2026,56,Madison County,222,William H. Wetsel Middle,Y,18,,18
2025-2026,62,Nelson County,710,Nelson County High,N,454,<,455
2025-2026,62,Nelson County,710,Nelson County High,Y,23,,23
2025-2026,62,Nelson County,730,Nelson Middle,N,300,,300
2025-2026,62,Nelson County,730,Nelson Middle,Y,22,,22
2025-2026,62,Nelson County,10,Rockfish River Elementary,N,278,,278
2025-2026,62,Nelson County,10,Rockfish River Elementary,Y,27,,27
2025-2026,62,Nelson County,20,Tye River Elementary,N,318,,318
2025-2026,62,Nelson County,20,Tye River Elementary,Y,18,,18
2025-2026,68,Orange County,360,Gordon-Barbour Elementary,N,292,,292
2025-2026,68,Orange County,360,Gordon-Barbour Elementary,Y,25,,25
2025-2026,68,Orange County,70,Lightfoot Elementary,N,202,,202
2025-2026,68,Orange County,70,Lightfoot Elementary,Y,17,,17
2025-2026,68,Orange County,50,Locust Grove Elementary,N,532,,532
2025-2026,68,Orange County,50,Locust Grove Elementary,Y,35,,35
2025-2026,68,Orange County,471,Locust Grove Middle,N,619,,619
2025-2026,68,Orange County,471,Locust Grove Middle,Y,45,,45
2025-2026,68,Orange County,51,Locust Grove Primary,N,396,,396
2025-2026,68,Orange County,51,Locust Grove Primary,Y,38,,38
2025-2026,68,Orange County,330,Orange County High ,N,"1,372",,"1,372"
2025-2026,68,Orange County,330,Orange County High ,Y,94,,94
2025-2026,68,Orange County,370,Orange Elementary,N,549,,549
2025-2026,68,Orange County,370,Orange Elementary,Y,58,,58
2025-2026,68,Orange County,340,Prospect Heights Middle,N,422,,422
2025-2026,68,Orange County,340,Prospect Heights Middle,Y,41,,41
2025-2026,68,Orange County,350,Unionville Elementary,N,225,,225
2025-2026,68,Orange County,350,Unionville Elementary,Y,19,,19
2025-2026,126,Staunton City,40,Arthur R. Ware Elementary,N,327,,327
2025-2026,126,Staunton City,40,Arthur R. Ware Elementary,Y,23,,23
2025-2026,126,Staunton City,70,Bessie Weller Elementary,N,374,,374
2025-2026,126,Staunton City,70,Bessie Weller Elementary,Y,34,,34
2025-2026,126,Staunton City,110,Shelburne Middle,N,551,,551
2025-2026,126,Staunton City,110,Shelburne Middle,Y,29,,29
2025-2026,126,Staunton City,41,Staunton City School PreSchool Programs,N,149,,149
2025-2026,126,Staunton City,30,Staunton High,N,766,,766
2025-2026,126,Staunton City,30,Staunton High,Y,46,,46
2025-2026,126,Staunton City,90,Thomas C. McSwain Elementary,N,436,,436
2025-2026,126,Staunton City,90,Thomas C. McSwain Elementary,Y,14,,14
2025-2026,130,Waynesboro City,650,Berkeley Glenn Elementary ,N,240,,240
2025-2026,130,Waynesboro City,650,Berkeley Glenn Elementary ,Y,25,,25
2025-2026,130,Waynesboro City,640,Kate Collins Middle ,N,535,,535
2025-2026,130,Waynesboro City,640,Kate Collins Middle ,Y,79,,79
2025-2026,130,Waynesboro City,620,Wayne Hills Center,N,186,,186
2025-2026,130,Waynesboro City,600,Waynesboro High ,N,775,,775
2025-2026,130,Waynesboro City,600,Waynesboro High ,Y,124,,124
2025-2026,130,Waynesboro City,580,Wenonah Elementary ,N,164,,164
2025-2026,130,Waynesboro City,580,Wenonah Elementary ,Y,71,,71
2025-2026,130,Waynesboro City,630,Westwood Hills Elementary ,N,343,,343
2025-2026,130,Waynesboro City,630,Westwood Hills Elementary ,Y,57,,57
2025-2026,130,Waynesboro City,751,William Perry Elementary ,N,353,,353
2025-2026,130,Waynesboro City,751,William Perry Elementary ,Y,61,,61
