School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,FT Count,PT Count,Total Count
2025-2026,8,Augusta County,60,Stuarts Draft Middle,Y,179,,179
2025-2026,8,Augusta County,640,Wilson Elementary,N,417,,417
2025-2026,8,Augusta County,640,Wilson Elementary,Y,265,,265
2025-2026,8,Augusta County,720,Wilson Memorial High,N,541,,541
2025-2026,8,Augusta County,720,Wilson Memorial High,Y,272,,272
2025-2026,8,Augusta County,844,Wilson Middle,N,413,<,414
2025-2026,8,Augusta County,844,Wilson Middle,Y,202,,202
2025-2026,15,Buckingham County,724,Buckingham Co Elementary,N,154,,154
2025-2026,15,Buckingham County,724,Buckingham Co Elementary,Y,193,,193
2025-2026,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,48,,48
2025-2026,15,Buckingham County,20,Buckingham Co Prekindergarten Center,Y,42,,42
2025-2026,15,Buckingham County,723,Buckingham Co Primary,N,136,,136
2025-2026,15,Buckingham County,723,Buckingham Co Primary,Y,209,,209
2025-2026,15,Buckingham County,700,Buckingham County High,N,322,,322
2025-2026,15,Buckingham County,700,Buckingham County High,Y,267,,267
2025-2026,15,Buckingham County,721,Buckingham County Middle,N,183,,183
2025-2026,15,Buckingham County,721,Buckingham County Middle,Y,202,,202
2025-2026,104,Charlottesville City,140,Charlottesville High,N,887,<,890
2025-2026,104,Charlottesville City,140,Charlottesville High,Y,556,,556
2025-2026,104,Charlottesville City,100,Charlottesville Middle,N,345,<,346
2025-2026,104,Charlottesville City,100,Charlottesville Middle,Y,227,,227
2025-2026,104,Charlottesville City,90,Greenbrier Elementary,N,173,,173
2025-2026,104,Charlottesville City,90,Greenbrier Elementary,Y,92,,92
2025-2026,104,Charlottesville City,120,Jackson-Via Elementary,N,182,,182
2025-2026,104,Charlottesville City,120,Jackson-Via Elementary,Y,176,,176
2025-2026,104,Charlottesville City,50,Summit Elementary,N,90,,90
2025-2026,104,Charlottesville City,50,Summit Elementary,Y,200,,200
2025-2026,104,Charlottesville City,70,Sunrise Elementary,N,220,,220
2025-2026,104,Charlottesville City,70,Sunrise Elementary,Y,86,,86
2025-2026,104,Charlottesville City,10,Tall Oaks Elementary,N,143,,143
2025-2026,104,Charlottesville City,10,Tall Oaks Elementary,Y,135,,135
2025-2026,104,Charlottesville City,40,Trailblazer Elementary,N,186,,186
2025-2026,104,Charlottesville City,40,Trailblazer Elementary,Y,101,,101
2025-2026,104,Charlottesville City,110,Walker Upper Elementary,N,308,,308
2025-2026,104,Charlottesville City,110,Walker Upper Elementary,Y,250,,250
2025-2026,32,Fluvanna County,300,Carysbrook Elementary,N,312,,312
2025-2026,32,Fluvanna County,300,Carysbrook Elementary,Y,179,,179
2025-2026,32,Fluvanna County,310,Central Elementary,N,434,,434
2025-2026,32,Fluvanna County,310,Central Elementary,Y,306,,306
2025-2026,32,Fluvanna County,260,Fluvanna County High,N,928,,928
2025-2026,32,Fluvanna County,260,Fluvanna County High,Y,407,,407
2025-2026,32,Fluvanna County,320,Fluvanna Middle,N,500,,500
2025-2026,32,Fluvanna County,320,Fluvanna Middle,Y,240,,240
2025-2026,39,Greene County,20,Nathanael Greene Elementary,N,190,,190
2025-2026,39,Greene County,20,Nathanael Greene Elementary,Y,145,,145
2025-2026,39,Greene County,10,Nathanael Greene Primary,N,191,,191
2025-2026,39,Greene County,10,Nathanael Greene Primary,Y,161,,161
2025-2026,39,Greene County,30,Ruckersville Elementary,N,401,,401
2025-2026,39,Greene County,30,Ruckersville Elementary,Y,175,,175
2025-2026,39,Greene County,72,William Monroe High,N,483,<,485
2025-2026,39,Greene County,72,William Monroe High,Y,456,<,458
2025-2026,39,Greene County,71,William Monroe Middle,N,271,<,273
2025-2026,39,Greene County,71,William Monroe Middle,Y,345,,345
2025-2026,54,Louisa County,660,Jouett Elementary,N,430,,430
2025-2026,54,Louisa County,660,Jouett Elementary,Y,256,,256
2025-2026,54,Louisa County,602,Louisa County High,N,847,,847
2025-2026,54,Louisa County,602,Louisa County High,Y,724,,724
2025-2026,54,Louisa County,601,Louisa County Middle,N,643,,643
2025-2026,54,Louisa County,601,Louisa County Middle,Y,567,,567
2025-2026,54,Louisa County,80,Moss-Nuckols Elementary,N,375,,375
2025-2026,54,Louisa County,80,Moss-Nuckols Elementary,Y,284,,284
2025-2026,54,Louisa County,610,Thomas Jefferson Elementary,N,409,,409
2025-2026,54,Louisa County,610,Thomas Jefferson Elementary,Y,287,,287
2025-2026,54,Louisa County,641,Trevilians Elementary,N,329,,329
2025-2026,54,Louisa County,641,Trevilians Elementary,Y,231,,231
2025-2026,56,Madison County,221,Madison County High,N,373,,373
2025-2026,56,Madison County,221,Madison County High,Y,154,,154
2025-2026,56,Madison County,230,Madison Primary,N,217,,217
2025-2026,56,Madison County,230,Madison Primary,Y,153,,153
2025-2026,56,Madison County,200,Waverly Yowell Elementary,N,213,,213
2025-2026,56,Madison County,200,Waverly Yowell Elementary,Y,124,,124
2025-2026,56,Madison County,222,William H. Wetsel Middle,N,227,,227
2025-2026,56,Madison County,222,William H. Wetsel Middle,Y,111,,111
2025-2026,62,Nelson County,710,Nelson County High,N,239,<,240
2025-2026,62,Nelson County,710,Nelson County High,Y,238,,238
2025-2026,62,Nelson County,730,Nelson Middle,N,152,,152
2025-2026,62,Nelson County,730,Nelson Middle,Y,170,,170
2025-2026,62,Nelson County,10,Rockfish River Elementary,N,135,,135
2025-2026,62,Nelson County,10,Rockfish River Elementary,Y,170,,170
2025-2026,62,Nelson County,20,Tye River Elementary,N,138,,138
2025-2026,62,Nelson County,20,Tye River Elementary,Y,198,,198
2025-2026,68,Orange County,360,Gordon-Barbour Elementary,N,169,,169
2025-2026,68,Orange County,360,Gordon-Barbour Elementary,Y,148,,148
2025-2026,68,Orange County,70,Lightfoot Elementary,N,138,,138
