School Year,Division Number,Division Name,School Number,School Name,English Learners,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2023-2024,15,Buckingham County,723,Buckingham Co Primary,Y,<,,<
2023-2024,15,Buckingham County,700,Buckingham County High,N,680,,680
2023-2024,15,Buckingham County,700,Buckingham County High,Y,<,,<
2023-2024,15,Buckingham County,721,Buckingham County Middle,N,419,,419
2023-2024,15,Buckingham County,721,Buckingham County Middle,Y,10,,10
2023-2024,104,Charlottesville City,100,Buford Middle,N,412,<,414
2023-2024,104,Charlottesville City,100,Buford Middle,Y,94,,94
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,N,252,,252
2023-2024,104,Charlottesville City,70,Burnley-Moran Elementary,Y,31,,31
2023-2024,104,Charlottesville City,140,Charlottesville High,N,"1,131",<,"1,137"
2023-2024,104,Charlottesville City,140,Charlottesville High,Y,211,,211
2023-2024,104,Charlottesville City,50,Clark Elementary,N,243,,243
2023-2024,104,Charlottesville City,50,Clark Elementary,Y,62,,62
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,N,214,,214
2023-2024,104,Charlottesville City,90,Greenbrier Elementary,Y,54,,54
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,N,287,,287
2023-2024,104,Charlottesville City,120,Jackson-Via Elementary,Y,64,,64
2023-2024,104,Charlottesville City,10,Johnson Elementary,N,269,,269
2023-2024,104,Charlottesville City,10,Johnson Elementary,Y,60,,60
2023-2024,104,Charlottesville City,40,Venable Elementary,N,289,,289
2023-2024,104,Charlottesville City,40,Venable Elementary,Y,32,,32
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,N,474,<,477
2023-2024,104,Charlottesville City,110,Walker Upper Elementary,Y,88,,88
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,N,438,,438
2023-2024,32,Fluvanna County,300,Carysbrook Elementary,Y,21,,21
2023-2024,32,Fluvanna County,310,Central Elementary,N,718,,718
2023-2024,32,Fluvanna County,310,Central Elementary,Y,25,,25
2023-2024,32,Fluvanna County,260,Fluvanna County High,N,"1,384",,"1,384"
2023-2024,32,Fluvanna County,260,Fluvanna County High,Y,21,,21
2023-2024,32,Fluvanna County,320,Fluvanna Middle,N,713,,713
2023-2024,32,Fluvanna County,320,Fluvanna Middle,Y,17,,17
2023-2024,39,Greene County,20,Nathanael Greene Elementary,N,326,,326
2023-2024,39,Greene County,20,Nathanael Greene Elementary,Y,13,,13
2023-2024,39,Greene County,10,Nathanael Greene Primary,N,356,,356
2023-2024,39,Greene County,10,Nathanael Greene Primary,Y,15,,15
2023-2024,39,Greene County,30,Ruckersville Elementary,N,423,,423
2023-2024,39,Greene County,30,Ruckersville Elementary,Y,67,,67
2023-2024,39,Greene County,72,William Monroe High,N,929,,929
2023-2024,39,Greene County,72,William Monroe High,Y,40,,40
2023-2024,39,Greene County,71,William Monroe Middle,N,564,,564
2023-2024,39,Greene County,71,William Monroe Middle,Y,32,,32
2023-2024,56,Madison County,221,Madison County High,N,528,<,529
2023-2024,56,Madison County,221,Madison County High,Y,<,,<
2023-2024,56,Madison County,230,Madison Primary,N,374,<,375
2023-2024,56,Madison County,230,Madison Primary,Y,<,,<
2023-2024,56,Madison County,200,Waverly Yowell Elementary,N,331,,331
2023-2024,56,Madison County,200,Waverly Yowell Elementary,Y,12,,12
2023-2024,56,Madison County,222,William H. Wetsel Middle,N,391,,391
2023-2024,56,Madison County,222,William H. Wetsel Middle,Y,<,,<
2023-2024,62,Nelson County,710,Nelson County High,N,473,,473
2023-2024,62,Nelson County,710,Nelson County High,Y,12,,12
2023-2024,62,Nelson County,730,Nelson Middle,N,339,,339
2023-2024,62,Nelson County,730,Nelson Middle,Y,14,,14
2023-2024,62,Nelson County,10,Rockfish River Elementary,N,271,,271
2023-2024,62,Nelson County,10,Rockfish River Elementary,Y,19,,19
2023-2024,62,Nelson County,20,Tye River Elementary,N,337,,337
2023-2024,62,Nelson County,20,Tye River Elementary,Y,22,,22
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,N,323,,323
2023-2024,68,Orange County,360,Gordon-Barbour Elementary,Y,19,,19
2023-2024,68,Orange County,70,Lightfoot Elementary,N,231,,231
2023-2024,68,Orange County,70,Lightfoot Elementary,Y,14,,14
2023-2024,68,Orange County,50,Locust Grove Elementary,N,482,,482
2023-2024,68,Orange County,50,Locust Grove Elementary,Y,28,,28
2023-2024,68,Orange County,471,Locust Grove Middle,N,636,,636
2023-2024,68,Orange County,471,Locust Grove Middle,Y,21,,21
2023-2024,68,Orange County,51,Locust Grove Primary,N,460,,460
2023-2024,68,Orange County,51,Locust Grove Primary,Y,23,,23
2023-2024,68,Orange County,330,Orange County High ,N,"1,383",<,"1,384"
2023-2024,68,Orange County,330,Orange County High ,Y,60,,60
2023-2024,68,Orange County,370,Orange Elementary,N,590,,590
2023-2024,68,Orange County,370,Orange Elementary,Y,52,,52
2023-2024,68,Orange County,340,Prospect Heights Middle,N,406,,406
2023-2024,68,Orange County,340,Prospect Heights Middle,Y,27,,27
2023-2024,68,Orange County,350,Unionville Elementary,N,234,,234
2023-2024,68,Orange County,350,Unionville Elementary,Y,16,,16
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,N,348,,348
2023-2024,126,Staunton City,40,Arthur R. Ware Elementary,Y,20,,20
2023-2024,126,Staunton City,70,Bessie Weller Elementary,N,344,,344
2023-2024,126,Staunton City,70,Bessie Weller Elementary,Y,29,,29
2023-2024,126,Staunton City,110,Shelburne Middle,N,548,,548
2023-2024,126,Staunton City,110,Shelburne Middle,Y,30,,30
2023-2024,126,Staunton City,41,Staunton City School PreSchool Programs,N,143,,143
2023-2024,126,Staunton City,30,Staunton High,N,764,,764
2023-2024,126,Staunton City,30,Staunton High,Y,23,,23
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,N,416,,416
2023-2024,126,Staunton City,90,Thomas C. McSwain Elementary,Y,<,,<
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,N,239,,239
2023-2024,130,Waynesboro City,650,Berkeley Glenn Elementary ,Y,17,,17
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,N,539,,539
2023-2024,130,Waynesboro City,640,Kate Collins Middle ,Y,64,,64
2023-2024,130,Waynesboro City,620,Wayne Hills Center,N,194,,194
2023-2024,130,Waynesboro City,620,Wayne Hills Center,Y,<,,<
2023-2024,130,Waynesboro City,600,Waynesboro High ,N,837,,837
2023-2024,130,Waynesboro City,600,Waynesboro High ,Y,73,,73
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,N,169,,169
2023-2024,130,Waynesboro City,580,Wenonah Elementary ,Y,40,,40
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,N,348,,348
2023-2024,130,Waynesboro City,630,Westwood Hills Elementary ,Y,31,,31
2023-2024,130,Waynesboro City,751,William Perry Elementary ,N,416,,416
2023-2024,130,Waynesboro City,751,William Perry Elementary ,Y,51,,51
