School Year,Division Number,Division Name,School Number,School Name,English Learners,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,N,365,,365
2023-2024,2,Albemarle County,160,Agnor-Hurt Elementary,Y,97,,97
2023-2024,2,Albemarle County,880,Albemarle High,N,"1,727",<,"1,733"
2023-2024,2,Albemarle County,880,Albemarle High,Y,253,,253
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,N,619,,619
2023-2024,2,Albemarle County,1053,Baker-Butler Elem,Y,97,,97
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,N,272,,272
2023-2024,2,Albemarle County,100,Broadus Wood Elementary,Y,11,,11
2023-2024,2,Albemarle County,941,Brownsville Elementary,N,558,,558
2023-2024,2,Albemarle County,941,Brownsville Elementary,Y,13,,13
2023-2024,2,Albemarle County,890,Community Lab School,N,175,,175
2023-2024,2,Albemarle County,890,Community Lab School,Y,<,,<
2023-2024,2,Albemarle County,340,Crozet Elementary,N,534,,534
2023-2024,2,Albemarle County,340,Crozet Elementary,Y,<,,<
2023-2024,2,Albemarle County,10,Hollymead Elementary,N,312,,312
2023-2024,2,Albemarle County,10,Hollymead Elementary,Y,29,,29
2023-2024,2,Albemarle County,250,Ivy Elementary,N,342,,342
2023-2024,2,Albemarle County,250,Ivy Elementary,Y,<,,<
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,N,445,,445
2023-2024,2,Albemarle County,69,Jackson P. Burley Middle,Y,74,,74
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,N,778,,778
2023-2024,2,Albemarle County,942,Joseph T. Henley Middle,Y,17,,17
2023-2024,2,Albemarle County,950,Journey Middle,N,435,,435
2023-2024,2,Albemarle County,950,Journey Middle,Y,121,,121
2023-2024,2,Albemarle County,1051,Lakeside Middle,N,462,,462
2023-2024,2,Albemarle County,1051,Lakeside Middle,Y,36,,36
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,N,307,<,308
2023-2024,2,Albemarle County,20,Leslie H. Walton Middle,Y,16,,16
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,N,326,,326
2023-2024,2,Albemarle County,40,Mary Carr Greer Elementary,Y,162,,162
2023-2024,2,Albemarle County,1052,Monticello High,N,"1,113",<,"1,118"
2023-2024,2,Albemarle County,1052,Monticello High,Y,78,,78
2023-2024,2,Albemarle County,150,Mountain View Elementary,N,620,,620
2023-2024,2,Albemarle County,150,Mountain View Elementary,Y,133,,133
2023-2024,2,Albemarle County,540,Red Hill Elementary,N,181,,181
2023-2024,2,Albemarle County,540,Red Hill Elementary,Y,13,,13
2023-2024,2,Albemarle County,30,Scottsville Elementary,N,209,,209
2023-2024,2,Albemarle County,30,Scottsville Elementary,Y,<,,<
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,N,463,,463
2023-2024,2,Albemarle County,920,Stone Robinson Elementary,Y,23,,23
2023-2024,2,Albemarle County,240,Stony Point Elementary,N,182,,182
2023-2024,2,Albemarle County,240,Stony Point Elementary,Y,<,,<
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,N,257,,257
2023-2024,2,Albemarle County,910,Virginia L. Murray Elementary,Y,15,,15
2023-2024,2,Albemarle County,140,Western Albemarle High,N,"1,149",<,"1,151"
2023-2024,2,Albemarle County,140,Western Albemarle High,Y,11,,11
2023-2024,2,Albemarle County,930,Woodbrook Elementary,N,352,,352
2023-2024,2,Albemarle County,930,Woodbrook Elementary,Y,160,,160
2023-2024,8,Augusta County,212,Beverley Manor Middle,N,605,,605
2023-2024,8,Augusta County,212,Beverley Manor Middle,Y,<,,<
2023-2024,8,Augusta County,660,Buffalo Gap High,N,413,,413
2023-2024,8,Augusta County,660,Buffalo Gap High,Y,<,,<
2023-2024,8,Augusta County,30,Cassell Elementary,N,626,,626
2023-2024,8,Augusta County,30,Cassell Elementary,Y,13,,13
2023-2024,8,Augusta County,140,Churchville Elementary,N,449,,449
2023-2024,8,Augusta County,370,Craigsville Elementary,N,126,,126
2023-2024,8,Augusta County,370,Craigsville Elementary,Y,<,,<
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,N,692,,692
2023-2024,8,Augusta County,842,Edward G. Clymore Elementary,Y,73,,73
2023-2024,8,Augusta County,670,Fort Defiance High,N,707,<,708
2023-2024,8,Augusta County,670,Fort Defiance High,Y,17,,17
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,N,448,,448
2023-2024,8,Augusta County,843,Guy K. Stump Elementary,Y,<,,<
2023-2024,8,Augusta County,40,North River Elementary,N,215,,215
2023-2024,8,Augusta County,40,North River Elementary,Y,20,,20
2023-2024,8,Augusta County,740,Riverheads Elementary,N,717,,717
2023-2024,8,Augusta County,740,Riverheads Elementary,Y,<,,<
2023-2024,8,Augusta County,680,Riverheads High,N,445,<,446
2023-2024,8,Augusta County,680,Riverheads High,Y,<,,<
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,N,475,,475
2023-2024,8,Augusta County,90,S. Gordon Stewart Middle,Y,20,,20
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,N,594,,594
2023-2024,8,Augusta County,440,Stuarts Draft Elementary,Y,16,,16
2023-2024,8,Augusta County,730,Stuarts Draft High,N,695,<,696
2023-2024,8,Augusta County,730,Stuarts Draft High,Y,15,,15
2023-2024,8,Augusta County,60,Stuarts Draft Middle,N,488,,488
2023-2024,8,Augusta County,60,Stuarts Draft Middle,Y,<,,<
2023-2024,8,Augusta County,640,Wilson Elementary,N,601,,601
2023-2024,8,Augusta County,640,Wilson Elementary,Y,46,,46
2023-2024,8,Augusta County,720,Wilson Memorial High,N,838,<,840
2023-2024,8,Augusta County,720,Wilson Memorial High,Y,23,,23
2023-2024,8,Augusta County,844,Wilson Middle,N,624,,624
2023-2024,8,Augusta County,844,Wilson Middle,Y,18,,18
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,N,380,,380
2023-2024,15,Buckingham County,724,Buckingham Co Elementary,Y,11,,11
2023-2024,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,108,,108
2023-2024,15,Buckingham County,723,Buckingham Co Primary,N,350,,350
