School Year,Division Number,Division Name,School Number,School Name,English Learners,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2019-2020,8,Augusta County,640,Wilson Elementary,N,628,,628
2019-2020,8,Augusta County,640,Wilson Elementary,Y,33,,33
2019-2020,8,Augusta County,720,Wilson Memorial High,N,784,<,785
2019-2020,8,Augusta County,720,Wilson Memorial High,Y,<,,<
2019-2020,8,Augusta County,844,Wilson Middle,N,641,,641
2019-2020,8,Augusta County,844,Wilson Middle,Y,13,,13
2019-2020,15,Buckingham County,724,Buckingham Co Elementary,N,481,,481
2019-2020,15,Buckingham County,724,Buckingham Co Elementary,Y,<,,<
2019-2020,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,111,,111
2019-2020,15,Buckingham County,723,Buckingham Co Primary,N,450,,450
2019-2020,15,Buckingham County,723,Buckingham Co Primary,Y,<,,<
2019-2020,15,Buckingham County,700,Buckingham County High,N,571,,571
2019-2020,15,Buckingham County,700,Buckingham County High,Y,<,,<
2019-2020,15,Buckingham County,721,Buckingham County Middle,N,493,,493
2019-2020,15,Buckingham County,721,Buckingham County Middle,Y,<,,<
2019-2020,104,Charlottesville City,100,Buford Middle,N,453,<,454
2019-2020,104,Charlottesville City,100,Buford Middle,Y,48,,48
2019-2020,104,Charlottesville City,70,Burnley-Moran Elementary,N,335,,335
2019-2020,104,Charlottesville City,70,Burnley-Moran Elementary,Y,39,,39
2019-2020,104,Charlottesville City,140,Charlottesville High,N,"1,091",,"1,091"
2019-2020,104,Charlottesville City,140,Charlottesville High,Y,97,,97
2019-2020,104,Charlottesville City,50,Clark Elementary,N,253,,253
2019-2020,104,Charlottesville City,50,Clark Elementary,Y,58,,58
2019-2020,104,Charlottesville City,90,Greenbrier Elementary,N,278,,278
2019-2020,104,Charlottesville City,90,Greenbrier Elementary,Y,92,,92
2019-2020,104,Charlottesville City,120,Jackson-Via Elementary,N,304,,304
2019-2020,104,Charlottesville City,120,Jackson-Via Elementary,Y,29,,29
2019-2020,104,Charlottesville City,10,Johnson Elementary,N,317,,317
2019-2020,104,Charlottesville City,10,Johnson Elementary,Y,34,,34
2019-2020,104,Charlottesville City,40,Venable Elementary,N,319,,319
2019-2020,104,Charlottesville City,40,Venable Elementary,Y,23,,23
2019-2020,104,Charlottesville City,110,Walker Upper Elementary,N,542,<,543
2019-2020,104,Charlottesville City,110,Walker Upper Elementary,Y,68,,68
2019-2020,32,Fluvanna County,300,Carysbrook Elementary,N,459,,459
2019-2020,32,Fluvanna County,300,Carysbrook Elementary,Y,11,,11
2019-2020,32,Fluvanna County,310,Central Elementary,N,449,,449
2019-2020,32,Fluvanna County,310,Central Elementary,Y,10,,10
2019-2020,32,Fluvanna County,260,Fluvanna County High,N,"1,462",,"1,462"
2019-2020,32,Fluvanna County,260,Fluvanna County High,Y,15,,15
2019-2020,32,Fluvanna County,320,Fluvanna Middle,N,803,,803
2019-2020,32,Fluvanna County,320,Fluvanna Middle,Y,<,,<
2019-2020,32,Fluvanna County,330,West Central Primary School,N,289,,289
2019-2020,32,Fluvanna County,330,West Central Primary School,Y,<,,<
2019-2020,39,Greene County,20,Nathanael Greene Elementary,N,332,,332
2019-2020,39,Greene County,20,Nathanael Greene Elementary,Y,14,,14
2019-2020,39,Greene County,10,Nathanael Greene Primary School,N,396,,396
2019-2020,39,Greene County,10,Nathanael Greene Primary School,Y,11,,11
2019-2020,39,Greene County,30,Ruckersville Elementary,N,475,,475
2019-2020,39,Greene County,30,Ruckersville Elementary,Y,41,,41
2019-2020,39,Greene County,72,William Monroe High,N,906,,906
2019-2020,39,Greene County,72,William Monroe High,Y,22,,22
2019-2020,39,Greene County,71,William Monroe Middle,N,688,,688
2019-2020,39,Greene County,71,William Monroe Middle,Y,19,,19
2019-2020,54,Louisa County,660,Jouett Elementary,N,576,,576
2019-2020,54,Louisa County,660,Jouett Elementary,Y,17,,17
2019-2020,54,Louisa County,602,Louisa County High,N,"1,467",,"1,467"
2019-2020,54,Louisa County,602,Louisa County High,Y,21,,21
2019-2020,54,Louisa County,601,Louisa County Middle,N,"1,134",,"1,134"
2019-2020,54,Louisa County,601,Louisa County Middle,Y,18,,18
2019-2020,54,Louisa County,80,Moss-Nuckols Elementary,N,565,,565
2019-2020,54,Louisa County,80,Moss-Nuckols Elementary,Y,25,,25
2019-2020,54,Louisa County,610,Thomas Jefferson Elementary,N,565,,565
2019-2020,54,Louisa County,610,Thomas Jefferson Elementary,Y,32,,32
2019-2020,54,Louisa County,641,Trevilians Elementary,N,493,,493
2019-2020,54,Louisa County,641,Trevilians Elementary,Y,10,,10
2019-2020,56,Madison County,221,Madison County High,N,535,<,536
2019-2020,56,Madison County,221,Madison County High,Y,<,,<
2019-2020,56,Madison County,230,Madison Primary,N,315,65,380
2019-2020,56,Madison County,230,Madison Primary,Y,<,,<
2019-2020,56,Madison County,200,Waverly Yowell Elementary,N,378,,378
2019-2020,56,Madison County,200,Waverly Yowell Elementary,Y,<,,<
2019-2020,56,Madison County,222,William H. Wetsel Middle,N,416,<,417
2019-2020,56,Madison County,222,William H. Wetsel Middle,Y,<,,<
2019-2020,62,Nelson County,710,Nelson County High,N,556,,556
2019-2020,62,Nelson County,710,Nelson County High,Y,13,,13
2019-2020,62,Nelson County,730,Nelson Middle,N,397,,397
2019-2020,62,Nelson County,730,Nelson Middle,Y,<,,<
2019-2020,62,Nelson County,10,Rockfish River Elementary,N,296,,296
