School Year,Division Number,Division Name,School Number,School Name,English Learners include Former ELs,FT Count,PT Count,Total Count
2024-2025,8,Augusta County,60,Stuarts Draft Middle,Y,21,,21
2024-2025,8,Augusta County,640,Wilson Elementary,N,596,,596
2024-2025,8,Augusta County,640,Wilson Elementary,Y,59,,59
2024-2025,8,Augusta County,720,Wilson Memorial High,N,812,,812
2024-2025,8,Augusta County,720,Wilson Memorial High,Y,25,,25
2024-2025,8,Augusta County,844,Wilson Middle,N,612,,612
2024-2025,8,Augusta County,844,Wilson Middle,Y,29,,29
2024-2025,15,Buckingham County,724,Buckingham Co Elementary,N,339,,339
2024-2025,15,Buckingham County,724,Buckingham Co Elementary,Y,12,,12
2024-2025,15,Buckingham County,20,Buckingham Co Prekindergarten Center,N,103,,103
2024-2025,15,Buckingham County,723,Buckingham Co Primary,N,353,,353
2024-2025,15,Buckingham County,723,Buckingham Co Primary,Y,<,,<
2024-2025,15,Buckingham County,700,Buckingham County High,N,636,,636
2024-2025,15,Buckingham County,700,Buckingham County High,Y,10,,10
2024-2025,15,Buckingham County,721,Buckingham County Middle,N,395,,395
2024-2025,15,Buckingham County,721,Buckingham County Middle,Y,12,,12
2024-2025,104,Charlottesville City,100,Buford Middle,N,409,<,410
2024-2025,104,Charlottesville City,100,Buford Middle,Y,154,,154
2024-2025,104,Charlottesville City,70,Burnley-Moran Elementary,N,267,,267
2024-2025,104,Charlottesville City,70,Burnley-Moran Elementary,Y,32,,32
2024-2025,104,Charlottesville City,140,Charlottesville High,N,"1,127",<,"1,130"
2024-2025,104,Charlottesville City,140,Charlottesville High,Y,311,,311
2024-2025,104,Charlottesville City,90,Greenbrier Elementary,N,209,,209
2024-2025,104,Charlottesville City,90,Greenbrier Elementary,Y,58,,58
2024-2025,104,Charlottesville City,120,Jackson-Via Elementary,N,302,,302
2024-2025,104,Charlottesville City,120,Jackson-Via Elementary,Y,68,,68
2024-2025,104,Charlottesville City,10,Johnson Elementary,N,248,,248
2024-2025,104,Charlottesville City,10,Johnson Elementary,Y,79,,79
2024-2025,104,Charlottesville City,50,Summit Elementary School,N,232,,232
2024-2025,104,Charlottesville City,50,Summit Elementary School,Y,53,,53
2024-2025,104,Charlottesville City,40,Trailblazer Elementary School,N,283,,283
2024-2025,104,Charlottesville City,40,Trailblazer Elementary School,Y,37,,37
2024-2025,104,Charlottesville City,110,Walker Upper Elementary,N,439,,439
2024-2025,104,Charlottesville City,110,Walker Upper Elementary,Y,131,,131
2024-2025,32,Fluvanna County,300,Carysbrook Elementary,N,440,,440
2024-2025,32,Fluvanna County,300,Carysbrook Elementary,Y,17,,17
2024-2025,32,Fluvanna County,310,Central Elementary,N,727,,727
2024-2025,32,Fluvanna County,310,Central Elementary,Y,24,,24
2024-2025,32,Fluvanna County,260,Fluvanna County High,N,"1,324",,"1,324"
2024-2025,32,Fluvanna County,260,Fluvanna County High,Y,38,,38
2024-2025,32,Fluvanna County,320,Fluvanna Middle,N,716,,716
