School Year,Division Number,Division Name,School Number,School Name,Disadvantaged,FT Count,PT Count,Total Count
2024-2025,2,Albemarle County,160,Agnor Elementary,N,326,,326
2024-2025,2,Albemarle County,160,Agnor Elementary,Y,197,,197
2024-2025,2,Albemarle County,880,Albemarle High,N,"1,386",<,"1,390"
2024-2025,2,Albemarle County,880,Albemarle High,Y,585,,585
2024-2025,2,Albemarle County,1053,Baker-Butler Elementary,N,491,,491
2024-2025,2,Albemarle County,1053,Baker-Butler Elementary,Y,201,,201
2024-2025,2,Albemarle County,100,Broadus Wood Elementary,N,233,,233
2024-2025,2,Albemarle County,100,Broadus Wood Elementary,Y,49,,49
2024-2025,2,Albemarle County,941,Brownsville Elementary,N,462,,462
2024-2025,2,Albemarle County,941,Brownsville Elementary,Y,68,,68
2024-2025,2,Albemarle County,890,Community Lab School,N,169,,169
2024-2025,2,Albemarle County,890,Community Lab School,Y,<,,<
2024-2025,2,Albemarle County,340,Crozet Elementary,N,487,,487
2024-2025,2,Albemarle County,340,Crozet Elementary,Y,84,,84
2024-2025,2,Albemarle County,10,Hollymead Elementary,N,355,,355
2024-2025,2,Albemarle County,10,Hollymead Elementary,Y,97,,97
2024-2025,2,Albemarle County,250,Ivy Elementary,N,327,,327
2024-2025,2,Albemarle County,250,Ivy Elementary,Y,31,,31
2024-2025,2,Albemarle County,69,Jackson P. Burley Middle,N,336,,336
2024-2025,2,Albemarle County,69,Jackson P. Burley Middle,Y,199,,199
2024-2025,2,Albemarle County,942,Joseph T. Henley Middle,N,738,,738
2024-2025,2,Albemarle County,942,Joseph T. Henley Middle,Y,109,,109
2024-2025,2,Albemarle County,950,Journey Middle,N,356,<,357
2024-2025,2,Albemarle County,950,Journey Middle,Y,291,,291
2024-2025,2,Albemarle County,1051,Lakeside Middle,N,429,<,430
2024-2025,2,Albemarle County,1051,Lakeside Middle,Y,145,,145
2024-2025,2,Albemarle County,20,Leslie H. Walton Middle,N,228,,228
2024-2025,2,Albemarle County,20,Leslie H. Walton Middle,Y,111,,111
2024-2025,2,Albemarle County,40,Mary Carr Greer Elementary,N,250,,250
2024-2025,2,Albemarle County,40,Mary Carr Greer Elementary,Y,270,,270
2024-2025,2,Albemarle County,1052,Monticello High,N,816,<,818
2024-2025,2,Albemarle County,1052,Monticello High,Y,373,,373
2024-2025,2,Albemarle County,150,Mountain View Elementary,N,500,,500
2024-2025,2,Albemarle County,150,Mountain View Elementary,Y,270,,270
2024-2025,2,Albemarle County,540,Red Hill Elementary,N,134,,134
2024-2025,2,Albemarle County,540,Red Hill Elementary,Y,76,,76
2024-2025,2,Albemarle County,30,Scottsville Elementary,N,135,,135
2024-2025,2,Albemarle County,30,Scottsville Elementary,Y,81,,81
2024-2025,2,Albemarle County,920,Stone Robinson Elementary,N,343,,343
2024-2025,2,Albemarle County,920,Stone Robinson Elementary,Y,133,,133
2024-2025,2,Albemarle County,240,Stony Point Elementary,N,163,,163
2024-2025,2,Albemarle County,240,Stony Point Elementary,Y,54,,54
2024-2025,2,Albemarle County,910,Virginia L. Murray Elementary,N,241,,241
